original_file,output_file,status,error,processing_time_s,timestamp
drcs_activations/202504_SevereWx_US/sentinel2/JAN_S2A_MNDWI_20250408_merged.tif,202504_SevereWx_US_JAN_S2A_MNDWI_merged_2025-04-08_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',1.1e-05,2025-09-26T23:46:10.086354
drcs_activations/202504_SevereWx_US/sentinel2/JAN_S2C_MNDWI_20250409_merged.tif,202504_SevereWx_US_JAN_S2C_MNDWI_merged_2025-04-09_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',5e-06,2025-09-26T23:46:10.086566
drcs_activations/202504_SevereWx_US/sentinel2/LZK_S2B_MNDWI_20250407_merged.tif,202504_SevereWx_US_LZK_S2B_MNDWI_merged_2025-04-07_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.086724
drcs_activations/202504_SevereWx_US/sentinel2/LZK_S2C_MNDWI_20250409_merged.tif,202504_SevereWx_US_LZK_S2C_MNDWI_merged_2025-04-09_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.086872
drcs_activations/202504_SevereWx_US/sentinel2/MEG_S2A_MNDWI_20250408_merged.tif,202504_SevereWx_US_MEG_S2A_MNDWI_merged_2025-04-08_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.087016
drcs_activations/202504_SevereWx_US/sentinel2/MEG_S2C_MNDWI_20250409_merged.tif,202504_SevereWx_US_MEG_S2C_MNDWI_merged_2025-04-09_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.087174
drcs_activations/202504_SevereWx_US/sentinel2/OHX_S2A_MNDWI_20250408_merged.tif,202504_SevereWx_US_OHX_S2A_MNDWI_merged_2025-04-08_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',3e-06,2025-09-26T23:46:10.087319
drcs_activations/202504_SevereWx_US/sentinel2/PAH_S2A_MNDWI_20250408_merged.tif,202504_SevereWx_US_PAH_S2A_MNDWI_merged_2025-04-08_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',3e-06,2025-09-26T23:46:10.087459
drcs_activations/202504_SevereWx_US/sentinel2/PAH_S2C_MNDWI_20250409_merged.tif,202504_SevereWx_US_PAH_S2C_MNDWI_merged_2025-04-09_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.087618
drcs_activations/202504_SevereWx_US/sentinel2/SHV_S2A_MNDWI_20250407_merged.tif,202504_SevereWx_US_SHV_S2A_MNDWI_merged_2025-04-07_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',3e-06,2025-09-26T23:46:10.087765
drcs_activations/202504_SevereWx_US/sentinel2/SHV_S2B_MNDWI_20250407_merged.tif,202504_SevereWx_US_SHV_S2B_MNDWI_merged_2025-04-07_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',3e-06,2025-09-26T23:46:10.087903
