original_file,output_file,status,error,processing_time_s,timestamp
drcs_activations/202504_SevereWx_US/sentinel2/JAN_S2A_trueColor_20250322_merged.tif,202504_SevereWx_US_JAN_S2A_trueColor_merged_2025-03-22_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',1.1e-05,2025-09-26T23:46:10.153416
drcs_activations/202504_SevereWx_US/sentinel2/JAN_S2A_trueColor_20250408_merged.tif,202504_SevereWx_US_JAN_S2A_trueColor_merged_2025-04-08_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.153628
drcs_activations/202504_SevereWx_US/sentinel2/JAN_S2B_trueColor_20250322_merged.tif,202504_SevereWx_US_JAN_S2B_trueColor_merged_2025-03-22_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.153780
drcs_activations/202504_SevereWx_US/sentinel2/JAN_S2C_trueColor_20250409_merged.tif,202504_SevereWx_US_JAN_S2C_trueColor_merged_2025-04-09_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.153924
drcs_activations/202504_SevereWx_US/sentinel2/LZK_S2B_trueColor_20250407_merged.tif,202504_SevereWx_US_LZK_S2B_trueColor_merged_2025-04-07_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.154065
drcs_activations/202504_SevereWx_US/sentinel2/LZK_S2C_trueColor_20150313_merged.tif,202504_SevereWx_US_LZK_S2C_trueColor_merged_2015-03-13_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.154213
drcs_activations/202504_SevereWx_US/sentinel2/LZK_S2C_trueColor_20250409_merged.tif,202504_SevereWx_US_LZK_S2C_trueColor_merged_2025-04-09_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',3e-06,2025-09-26T23:46:10.154356
drcs_activations/202504_SevereWx_US/sentinel2/MEG_S2A_trueColor_20250322_merged.tif,202504_SevereWx_US_MEG_S2A_trueColor_merged_2025-03-22_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.154496
drcs_activations/202504_SevereWx_US/sentinel2/MEG_S2A_trueColor_20250408_merged.tif,202504_SevereWx_US_MEG_S2A_trueColor_merged_2025-04-08_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.154644
drcs_activations/202504_SevereWx_US/sentinel2/MEG_S2B_trueColor_20250322_merged.tif,202504_SevereWx_US_MEG_S2B_trueColor_merged_2025-03-22_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',3e-06,2025-09-26T23:46:10.154780
drcs_activations/202504_SevereWx_US/sentinel2/MEG_S2C_trueColor_20250409_merged.tif,202504_SevereWx_US_MEG_S2C_trueColor_merged_2025-04-09_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.154918
drcs_activations/202504_SevereWx_US/sentinel2/OHX_S2A_trueColor_20250322_merged.tif,202504_SevereWx_US_OHX_S2A_trueColor_merged_2025-03-22_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',4e-06,2025-09-26T23:46:10.155056
drcs_activations/202504_SevereWx_US/sentinel2/OHX_S2A_trueColor_20250408_merged.tif,202504_SevereWx_US_OHX_S2A_trueColor_merged_2025-04-08_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',3e-06,2025-09-26T23:46:10.155207
drcs_activations/202504_SevereWx_US/sentinel2/OHX_S2B_trueColor_20250322_merged.tif,202504_SevereWx_US_OHX_S2B_trueColor_merged_2025-03-22_day.tif,failed,__main__.process_files_by_type.<locals>.process_wrapper() got multiple values for keyword argument 'BUCKET',3e-06,2025-09-26T23:46:10.155346
